29-10-2020 16:23:42.112 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.112 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.112 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.113 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.113 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.113 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.113 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.113 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.113 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.113 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.113 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.113 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.113 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.114 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.114 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.114 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.114 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.114 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.114 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.114 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.114 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.114 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.114 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.114 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.115 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.115 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.115 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.115 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.115 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.115 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.115 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.115 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.115 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.116 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.116 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.116 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.116 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.116 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.116 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.116 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.117 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.117 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.117 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.117 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.117 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.117 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.117 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.117 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.117 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.118 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.118 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.118 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.118 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.118 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.118 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.118 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.118 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.118 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.118 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.119 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.119 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.119 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.119 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.119 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.119 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.119 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.119 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.119 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.119 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.119 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.120 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.120 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.120 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.120 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.120 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.120 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.120 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.120 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.120 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.120 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.120 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.121 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.121 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.121 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.121 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.121 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.121 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.121 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.121 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.121 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.121 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.121 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.122 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.122 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.122 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.122 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.122 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.122 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.122 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.122 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.122 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.122 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.122 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.123 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.123 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.123 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.123 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.123 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.123 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.123 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.123 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.123 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.124 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.124 ERROR com.mrd.controller.UserController.getByUsername - test loi
